 Date, Team, Acquired, Relinquished, Notes
2015-10-28, 76ers, , • Kendall Marshall, right knee injury (out indefinitely)
2015-10-28, 76ers, , • Nik Stauskas, back spasms (DTD)
2015-10-28, Hornets, , • Jeremy Lamb, sprained right ankle (DTD)
2015-10-28, Nets, • Thomas Robinson, , returned to lineup
2015-10-28, Pacers, , • Myles Turner, sore right ankle (DTD)
2015-10-28, Pelicans, • Jrue Holiday, , returned to lineup
2015-10-28, Warriors, , • Andrew Bogut, concussion (DTD)
2015-10-29, Mavericks, , • Deron Williams, sprained left knee (DTD)
2015-10-29, Mavericks, , • Wesley Matthews / Wes Matthews Jr., rest (DTD)
 Date, Team, Acquired, Relinquished, Notes
2015-10-29, Pacers, • Myles Turner, , returned to lineup
2015-10-29, Pistons, , • Jodie Meeks, fractured right foot (out indefinitely)
2015-10-30, 76ers, • Nik Stauskas, , returned to lineup
2015-10-30, Bucks, , • John Henson, sore left Achilles (DTD)
2015-10-30, Hornets, • Jeremy Lamb, , returned to lineup
2015-10-30, Nets, • Jarrett Jack, , returned to lineup
2015-10-30, Pistons, , • Jodie Meeks, surgery on right foot to repair fracture (date approximate)
2015-10-31, Pacers, , • Glenn Robinson III, shoulder injury (DTD)
2015-10-31, Pelicans, • Luke Babbitt, , returned to lineup
2015-10-31, Pelicans, • Omer Asik, , returned to lineup
2015-11-01, Mavericks, • Deron Williams, , returned to lineup
2015-11-01, Mavericks, • Wesley Matthews / Wes Matthews Jr., , returned to lineup
2015-11-01, Pelicans, , • Kendrick Perkins, strained right pectoral muscle (DTD)
2015-11-01, Rockets, , • Dwight Howard, rest (DTD)
2015-11-01, Rockets, , • Terrence Jones, placed on IL with facial (eyelid) injury
2015-11-02, 76ers, • Robert Covington, , returned to lineup
2015-11-02, Knicks, • Kevin Seraphin, , returned to lineup
2015-11-02, Rockets, , • Chuck Hayes, foot injury (DTD)
2015-11-02, Rockets, • Dwight Howard, , returned to lineup
2015-11-03, 76ers, , • Robert Covington, sprained MCL in right knee (DTD)
2015-11-03, Cavaliers, , • J.R. Smith, bruised right knee (DTD)
2015-11-03, Hawks, , • Mike Muscala, sore right ankle (DTD)
2015-11-03, Nuggets, , • Joffrey Lauvergne, strained lower back (DTD)
2015-11-03, Nuggets, , • Nikola Jokic, strained lower back (DTD)
2015-11-03, Pacers, , • Ian Mahinmi, sore lower back (DTD)
 Date, Team, Acquired, Relinquished, Notes
2015-11-03, Pacers, • Glenn Robinson III, , returned to lineup
2015-11-03, Pelicans, , • Omer Asik, sprained right calf (DTD)
2015-11-03, Lakers, , • Larry Nance Jr., nose injury (DTD)
2015-11-04, Bucks, , • Michael Carter-Williams, strained left ankle (DTD)
2015-11-04, Hawks, • Mike Muscala, , returned to lineup
2015-11-04, Magic, , • Nikola Vucevic, sprained right knee (DTD)
2015-11-04, Pacers, , • C.J. Miles, sore right ankle (DTD)
2015-11-04, Rockets, , • Patrick Beverley, concussion (DTD)
2015-11-05, Nuggets, • Nikola Jokic, , returned to lineup
2015-11-06, Hawks, , • Mike Muscala, ankle injury (DTD)
2015-11-06, Lakers, • Larry Nance Jr., , returned to lineup
2015-11-06, Pacers, • Ian Mahinmi, , returned to lineup
2015-11-06, Rockets, , • Dwight Howard, rest (P) / back injury (CBC) (DTD)
2015-11-06, Rockets, • Chuck Hayes, , returned to lineup
2015-11-06, Wizards, , • Drew Gooden, back injury (DTD)
2015-11-06, Pelicans, , • Norris Cole (a), sprained left ankle (DTD)
2015-11-07, Clippers, , • Chris Paul, sore right groin (DTD)
2015-11-07, Hawks, • Mike Muscala, , returned to lineup
2015-11-07, Kings, , • Darren Collison, sore hamstring (DTD)
2015-11-07, Kings, , • Seth Curry, sprained right ankle (DTD)
2015-11-07, Pacers, , • Rodney Stuckey, ankle injury (DTD)
2015-11-07, Pelicans, , • Jrue Holiday, lower right leg injury (DTD)
2015-11-07, Rockets, • Dwight Howard, , returned to lineup
2015-11-08, Cavaliers, , • Anderson Varejao, DNP
2015-11-08, Knicks, • Louis Amundson / Lou Amundson, , returned to lineup
 Date, Team, Acquired, Relinquished, Notes
2015-11-09, 76ers, , • Nerlens Noel, sore left wrist (DTD)
2015-11-09, Bulls, , • Joakim Noah, sore left knee (DTD)
2015-11-09, Clippers, • Chris Paul, , returned to lineup
2015-11-09, Grizzlies, , • Brandan Wright, sore right knee (DTD)
2015-11-09, Magic, , • Jason Smith, sore left knee (DTD)
2015-11-09, Nets, , • Brook Lopez, sore right foot (DTD)
2015-11-09, Nuggets, , • Jameer Nelson, sprained back / SI joint (DTD)
2015-11-09, Pacers, , • Rodney Stuckey, sore right ankle (DTD)
2015-11-09, Pacers, • C.J. Miles, , returned to lineup
2015-11-09, Pacers, • Rodney Stuckey, , returned to lineup
2015-11-09, Wizards, , • Bradley Beal, sore left shoulder (DTD)
2015-11-10, Cavaliers, • J.R. Smith, , returned to lineup
2015-11-10, Pelicans, • Jrue Holiday, , returned to lineup
2015-11-10, Pelicans, • Omer Asik, , returned to lineup
2015-11-10, Timberwolves, , • Andrew Wiggins, sore right knee (DTD)
2015-11-10, Timberwolves, , • Ricky Rubio, sore left knee (DTD)
2015-11-10, Wizards, , • Nene / Nene Hilario / Maybyner Hilario, sore back (DTD)
2015-11-10, Wizards, • Drew Gooden, , returned to lineup
2015-11-11, 76ers, , • Richaun Holmes, strained right hamstring (DTD)
2015-11-11, Blazers, , • Meyers Leonard, dislocated left shoulder (out indefinitely)
2015-11-11, Bucks, , • Jabari Parker, rest (DTD)
2015-11-11, Grizzlies, , • Jarell Martin, recovering from surgery on left foot to repair fracture (DTD) (P)
2015-11-11, Magic, , • C.J. Watson, sore left calf (DTD)
2015-11-11, Pacers, , • Rodney Stuckey, sprained right ankle (DTD)
2015-11-11, Pelicans, , • Anthony Davis, strained right hip (DTD)
 Date, Team, Acquired, Relinquished, Notes
2015-11-11, Pelicans, , • Jrue Holiday, lower right leg injury (DTD)
2015-11-11, Rockets, , • Sam Dekker, sore back (DTD)
2015-11-11, Thunder, , • Kevin Durant, strained left hamstring (DTD)
2015-11-12, Clippers, , • Chris Paul, sore right groin (DTD)
2015-11-12, Clippers, , • J.J. Redick, lower back spasms (DTD)
2015-11-12, Magic, , • Victor Oladipo, concussion (DTD)
2015-11-12, Pacers, , • Myles Turner, chip fracture in left thumb (out indefinitely)
2015-11-12, Timberwolves, • Andrew Wiggins, , returned to lineup
2015-11-13, 76ers, • Nerlens Noel, , returned to lineup
2015-11-13, Bulls, • Joakim Noah, , returned to lineup
2015-11-13, Kings, , • Rudy Gay, gastroenteritis (DTD)
2015-11-13, Nuggets, • Jameer Nelson, , returned to lineup
2015-11-13, Pelicans, • Jrue Holiday, , returned to lineup
2015-11-13, Jazz, , • Rudy Gobert, sprained left ankle (DTD)
2015-11-13, Magic, , • Jason Smith, sore left knee (DTD)
2015-11-14, Grizzlies, , • James Ennis, sore shoulder (DTD)
2015-11-14, Mavericks, , • Wesley Matthews / Wes Matthews Jr., Achilles injury (DTD)
2015-11-14, Rockets, , • Dwight Howard, back injury (DTD)
2015-11-14, Suns, , • Markieff Morris, sprained left knee (DTD)
2015-11-14, Warriors, , • Klay Thompson, sore back (DTD)
2015-11-14, Wizards, • Nene / Nene Hilario / Maybyner Hilario, , returned to lineup
2015-11-15, Jazz, • Rudy Gobert, , returned to lineup
2015-11-15, Kings, • Rudy Gay, , returned to lineup
2015-11-15, Pelicans, • Anthony Davis, , returned to lineup
2015-11-16, 76ers, , • Phil Pressey, illness (DTD)
 Date, Team, Acquired, Relinquished, Notes
2015-11-16, 76ers, • Robert Covington, , returned to lineup
2015-11-16, Bucks, , • Jabari Parker, sprained right foot (DTD)
2015-11-16, Bulls, , • Derrick Rose, sprained left ankle (DTD)
2015-11-16, Hawks, , • Kent Bazemore, sprained ankle (DTD)
2015-11-16, Pacers, , • George Hill, upper respiratory infection (DTD)
2015-11-16, Pacers, , • Myles Turner, surgery on left thumb to repair chip fracture and torn ligament (out indefinitely)
2015-11-16, Rockets, • Dwight Howard, , returned to lineup
2015-11-17, Nuggets, , • Darrell Arthur, illness (DTD)
2015-11-17, Nuggets, , • Wilson Chandler, surgery on right hip to repair torn labrum (out for season)
2015-11-17, Pelicans, , • Omer Asik, stomach illness (DTD)
2015-11-17, Warriors, • Klay Thompson, , returned to lineup
2015-11-18, 76ers, • Phil Pressey, , returned to lineup
2015-11-18, Magic, • Jason Smith, , returned to lineup
2015-11-18, Nuggets, • Darrell Arthur, , returned to lineup
2015-11-18, Pelicans, , • Anthony Davis, shoulder injury (DTD)
2015-11-18, Pelicans, , • Jrue Holiday, DNP
2015-11-18, Raptors, , • Terrence Ross, left thumb ligament injury (DTD)
2015-11-18, Suns, • Markieff Morris, , returned to lineup
2015-11-18, Kings, • Darren Collison, , returned to lineup
2015-11-19, Bulls, , • Aaron Brooks, strained left hamstring (DTD)
2015-11-19, Cavaliers, , • Maurice Williams / Mo Williams, right ankle inflammation (DTD)
2015-11-19, Cavaliers, , • Timofey Mozgov, strained right shoulder (DTD)
2015-11-19, Clippers, • Chris Paul, , returned to lineup
2015-11-19, Warriors, , • Leandro Barbosa, virus (DTD)
2015-11-20, Clippers, , • Pablo Prigioni, illness (DTD)
 Date, Team, Acquired, Relinquished, Notes
2015-11-20, Clippers, • J.J. Redick, , returned to lineup
2015-11-20, Grizzlies, , • Zach Randolph, sore right knee (DTD)
2015-11-20, Grizzlies, • James Ennis, , returned to lineup
2015-11-20, Hornets, , • Cody Zeller, sprained left ankle (DTD)
2015-11-20, Knicks, , • Louis Amundson / Lou Amundson, head injury (DTD)
2015-11-20, Pelicans, • Anthony Davis, , returned to lineup
2015-11-20, Pelicans, • Omer Asik, , returned to lineup
2015-11-20, Raptors, • Terrence Ross, , returned to lineup
2015-11-20, Warriors, • Leandro Barbosa, , returned to lineup
2015-11-20, Wizards, , • Martell Webster, surgery on right hip (out for season)
2015-11-20, Nuggets, , • Joffrey Lauvergne, strained lower back (DTD)
2015-11-21, 76ers, • Richaun Holmes, , returned to lineup
2015-11-21, Celtics, , • Marcus Smart, bruised left knee (DTD)
2015-11-21, Hawks, , • Tiago Splitter, sore right hip (DTD)
2015-11-21, Knicks, • Louis Amundson / Lou Amundson, , returned to lineup
2015-11-21, Nuggets, , • Kenneth Faried, sprained left ankle (DTD)
2015-11-21, Pacers, • Rodney Stuckey, , returned to lineup
2015-11-21, Raptors, , • Jonas Valanciunas, fractured left hand (out indefinitely)
2015-11-21, Rockets, , • Dwight Howard, rest (DTD)
2015-11-21, Wizards, • Bradley Beal, , returned to lineup
2015-11-22, Nets, , • Wayne Ellington, migraine headache (DTD)
2015-11-23, Heat, , • Amare Stoudemire / Amar'e Stoudemire, illness (DTD) (Y)
2015-11-23, Heat, , • Luol Deng, sore hamstring (DTD)
2015-11-23, Hornets, • Cody Zeller, , returned to lineup
2015-11-24, Clippers, • Pablo Prigioni, , returned to lineup
 Date, Team, Acquired, Relinquished, Notes
2015-11-24, Pacers, • George Hill, , returned to lineup
2015-11-25, 76ers, , • Nik Stauskas, bruised left knee (DTD)
2015-11-25, Cavaliers, , • Matthew Dellavedova / Matt Dellavedova, left calf tightness (DTD)
2015-11-25, Cavaliers, • Maurice Williams / Mo Williams, , returned to lineup
2015-11-25, Kings, , • DeMarcus Cousins, sore back (DTD)
2015-11-25, Nets, • Wayne Ellington, , returned to lineup
2015-11-25, Pistons, , • Spencer Dinwiddie, sore left knee (DTD)
2015-11-25, Rockets, • Dwight Howard, , returned to lineup
2015-11-25, Thunder, , • Mitch McGary, sore ankle (DTD)
2015-11-27, 76ers, , • Nerlens Noel, sore right knee (DTD)
2015-11-27, 76ers, • Nik Stauskas, , returned to lineup
2015-11-27, Blazers, , • Chris Kaman, sore ankle (DTD)
2015-11-27, Cavaliers, • Matthew Dellavedova / Matt Dellavedova, , returned to lineup
2015-11-27, Cavaliers, • Timofey Mozgov, , returned to lineup
2015-11-27, Heat, , • Chris Andersen, illness (DTD)
2015-11-27, Mavericks, , • Jose Juan Barea / Jose Barea / J.J. Barea, sprained right ankle (DTD)
2015-11-27, Pacers, , • Jordan Hill, sore lower back (DTD)
2015-11-27, Pacers, , • Myles Turner, recovering from surgery on left thumb to repair chip fracture and torn ligament (out indefinitely)
2015-11-27, Pistons, • Spencer Dinwiddie, , returned to lineup
2015-11-27, Timberwolves, , • Ricky Rubio, ankle injury (DTD)
2015-11-28, Nuggets, , • Gary Harris, concussion (DTD)
2015-11-28, Wizards, , • Drew Gooden, strained right calf (DTD)
2015-11-28, Wizards, , • Gary Neal, strained left groin (DTD)
2015-11-29, Grizzlies, • Zach Randolph, , returned to lineup
2015-11-29, Knicks, , • Carmelo Anthony, illness (DTD)
 Date, Team, Acquired, Relinquished, Notes
2015-11-29, Pacers, • Jordan Hill, , returned to lineup
2015-11-30, Bulls, , • Kirk Hinrich, left hip pointer (DTD)
2015-11-30, Heat, • Chris Andersen, , returned to lineup
2015-11-30, Hornets, , • Al Jefferson, strained left calf (out indefinitely)
2015-11-30, Nets, , • Andrea Bargnani, sore hamstring
2015-11-30, Pacers, , • Shayne Whittington, sore ribs (DTD) (Y)
2015-12-01, 76ers, • Nerlens Noel, , returned to lineup
2015-12-01, Mavericks, , • Chandler Parsons, rest (DNP) (P)
2015-12-01, Pelicans, • Norris Cole (a), , returned to lineup
2015-12-02, Bulls, • Aaron Brooks, , returned to lineup
2015-12-02, Jazz, , • Rudy Gobert, sprained MCL in left knee (out indefinitely)
2015-12-02, Knicks, • Carmelo Anthony, , returned to lineup
2015-12-02, Pelicans, , • Jrue Holiday, DNP
2015-12-02, Wizards, • Gary Neal, , returned to lineup
2015-12-03, Clippers, , • J.J. Redick, sprained right ankle (DTD)
2015-12-03, Kings, , • Willie Cauley-Stein, dislocated right index finger (out indefinitely)
2015-12-03, Nuggets, , • Kenneth Faried, ankle injury (DTD)
2015-12-03, Pistons, , • Aron Baynes, surgery to repair fractured nose (did not miss any games)
2015-12-04, Bucks, , • Tyler Ennis, sore left shoulder (DTD)
2015-12-04, Rockets, , • Dwight Howard, rest (DTD)
2015-12-04, Wizards, , • Kris Humphries, sprained left ankle (DTD)
2015-12-05, Bulls, , • Aaron Brooks, strained left hamstring (DTD)
2015-12-05, Bulls, • Kirk Hinrich, , returned to lineup
2015-12-05, Cavaliers, , • LeBron James, rest (DTD)
2015-12-05, Celtics, , • David Lee, bruised right heel (DTD)
 Date, Team, Acquired, Relinquished, Notes
2015-12-05, Nuggets, • Kenneth Faried, , returned to lineup
2015-12-05, Rockets, • Dwight Howard, , returned to lineup
2015-12-05, Warriors, , • Andrew Bogut, back spasms (DTD)
2015-12-06, Grizzlies, , • Brandan Wright, sore right knee (DTD)
2015-12-06, Mavericks, , • Chandler Parsons, rest (DNP) (P)
2015-12-06, Mavericks, , • Dwight Powell, sore knee (DTD)
2015-12-06, Mavericks, , • JaVale McGee, rest (DTD)
2015-12-06, Nets, , • Rondae Hollis-Jefferson, right ankle injury (DTD)
2015-12-06, Nets, , • Sergey Karasev, sprained left ankle (DTD)
2015-12-06, Warriors, • Andrew Bogut, , returned to lineup
2015-12-07, Bucks, • Tyler Ennis, , returned to lineup
2015-12-07, Celtics, , • R.J. Hunter, strained left hip flexor (DTD)
2015-12-07, Clippers, • J.J. Redick, , returned to lineup
2015-12-07, Mavericks, • JaVale McGee, , returned to lineup
2015-12-07, Spurs, , • Emanuel Ginobili / Manu Ginobili, rest (DTD)
2015-12-07, Wizards, • Kris Humphries, , returned to lineup
2015-12-08, Cavaliers, • LeBron James, , returned to lineup
2015-12-08, Magic, , • Aaron Gordon, ankle injury (DTD)
2015-12-08, Nets, • Sergey Karasev, , returned to lineup
2015-12-08, Warriors, , • Leandro Barbosa, illness (DTD)
2015-12-09, Celtics, • David Lee, , returned to lineup
2015-12-09, Grizzlies, , • Brandan Wright, sore right knee (DTD)
2015-12-09, Hawks, , • Mike Scott, knee injury (DTD)
2015-12-09, Hawks, • Tiago Splitter, , returned to lineup
2015-12-09, Magic, • Aaron Gordon, , returned to lineup
 Date, Team, Acquired, Relinquished, Notes
2015-12-09, Nets, , • Rondae Hollis-Jefferson, surgery on right ankle to repair fractured bone (out indefinitely)
2015-12-09, Rockets, , • Trevor Ariza, bruised lower back (DTD)
2015-12-09, Wizards, , • Kris Humphries, sprained left ankle (DTD)
2015-12-09, Raptors, , • Lucas Nogueira, sprained left ankle (DTD)
2015-12-11, 76ers, , • Tony Wroten Jr., sore right knee (DTD)
2015-12-11, Cavaliers, , • J.R. Smith, illness (DTD)
2015-12-11, Grizzlies, , • Brandan Wright, sore right knee (DTD)
2015-12-11, Nuggets, , • Darrell Arthur, sore right knee (DTD)
2015-12-11, Raptors, • Lucas Nogueira, , returned to lineup
2015-12-11, Warriors, , • Klay Thompson, sprained right ankle (DTD)
2015-12-11, Warriors, • Leandro Barbosa, , returned to lineup
2015-12-11, Wizards, , • Bradley Beal, stress reaction in right leg (DTD)
2015-12-12, Pelicans, , • Jrue Holiday, leg injury (DTD)
2015-12-12, Rockets, • Trevor Ariza, , returned to lineup
2015-12-12, Warriors, • Klay Thompson, , returned to lineup
2015-12-12, Wizards, • Kris Humphries, , returned to lineup
2015-12-13, Grizzlies, , • Tony Allen, sore right knee (DTD)
2015-12-13, Raptors, , • DeMarre Carroll, bruised right knee (DTD)
2015-12-14, 76ers, , • Nerlens Noel, left eye corneal abrasion (DTD)
2015-12-14, Pelicans, • Jrue Holiday, , returned to lineup
2015-12-14, Raptors, , • DeMarre Carroll, bruised right knee (DTD)
2015-12-14, Rockets, , • Clint Capela, illness (DTD)
2015-12-15, Bucks, , • Greg Monroe, knee injury (DTD)
2015-12-15, Bucks, , • Greivis Vasquez, surgery on right ankle to remove bone spur and loose bodies (out indefinitely)
2015-12-15, Cavaliers, • J.R. Smith, , returned to lineup
 Date, Team, Acquired, Relinquished, Notes
2015-12-15, Nuggets, • Darrell Arthur, , returned to lineup
2015-12-15, Rockets, • Clint Capela, , returned to lineup
2015-12-16, Grizzlies, , • Brandan Wright, surgery on right knee (date approximate)
2015-12-16, Jazz, , • Joe Ingles, oral surgery (DTD)
2015-12-16, Kings, , • Eric Moreland, fractured left foot (surgery) (out indefinitely)
2015-12-16, Nets, , • Sergey Karasev, sore left ankle (DTD)
2015-12-16, Nets, , • Shane Larkin, concussion (DTD)
2015-12-16, Timberwolves, , • Kevin Martin, wrist injury (DTD)
2015-12-17, Cavaliers, , • Maurice Williams / Mo Williams, sprained right thumb (DTD)
2015-12-17, Raptors, , • DeMarre Carroll, bruised right knee (DTD)
2015-12-18, 76ers, • Nerlens Noel, , returned to lineup
2015-12-18, Bucks, • Greg Monroe, , returned to lineup
2015-12-18, Heat, , • Chris Andersen, illness (DTD)
2015-12-18, Jazz, • Joe Ingles, , returned to lineup
2015-12-18, Mavericks, , • Devin Harris, strained right hamstring (DTD)
2015-12-18, Nets, , • Thomas Robinson, illness (DTD)
2015-12-18, Pelicans, , • Alexis Ajinca / Alex Ajinca, calf injury (DTD)
2015-12-18, Pistons, , • Aron Baynes, back spasms (DTD)
2015-12-18, Raptors, , • DeMarre Carroll, bruised right knee (DTD)
2015-12-18, Timberwolves, • Kevin Martin, , returned to lineup
2015-12-19, Lakers, , • Kobe Bryant, sore right shoulder (DTD)
2015-12-19, Wizards, , • Bradley Beal, sore right leg (DTD)
2015-12-19, Wizards, , • Otto Porter Jr., bruised left thigh (DTD)
2015-12-20, Bucks, , • Giannis Antetokounmpo, sore knee (DTD)
2015-12-20, Bucks, , • Jason Kidd, surgery on hip (out indefinitely)
 Date, Team, Acquired, Relinquished, Notes
2015-12-20, Heat, • Chris Andersen, , returned to lineup
2015-12-20, Nets, • Thomas Robinson, , returned to lineup
2015-12-21, Bulls, , • Joakim Noah, sprained left shoulder (DTD)
2015-12-21, Celtics, , • Jared Sullinger, back spasms (DTD)
2015-12-21, Clippers, , • Austin Rivers, sprained right ankle (DTD)
2015-12-21, Clippers, , • Paul Pierce, sore back (DTD)
2015-12-21, Timberwolves, , • Kevin Garnett, rest (DTD)
2015-12-21, Wizards, , • Gary Neal, sore lower back (DTD)
2015-12-22, 76ers, , • Kendall Marshall, sore right knee (DTD)
2015-12-22, Grizzlies, • Tony Allen, , returned to lineup
2015-12-22, Lakers, • Kobe Bryant, , returned to lineup
2015-12-22, Mavericks, , • Deron Williams, strained left hamstring (DTD)
2015-12-22, Pistons, • Aron Baynes, , returned to lineup
2015-12-22, Raptors, , • James Johnson, sprained left ankle (DTD)
2015-12-23, 76ers, , • Tony Wroten Jr., sore right knee (DTD)
2015-12-23, Bucks, • Giannis Antetokounmpo, , returned to lineup
2015-12-23, Celtics, • Jared Sullinger, , returned to lineup
2015-12-23, Knicks, , • Carmelo Anthony, sprained right ankle (DTD)
2015-12-23, Lakers, , • Julius Randle, sprained left ankle (DTD)
2015-12-23, Nets, • Shane Larkin, , returned to lineup
2015-12-23, Nuggets, , • Jameer Nelson, illness (DTD)
2015-12-23, Wizards, • Gary Neal, , returned to lineup
2015-12-25, Clippers, • Paul Pierce, , returned to lineup
2015-12-25, Lakers, • Julius Randle, , returned to lineup
2015-12-26, 76ers, , • Jahlil Okafor, sore right knee (DTD)
 Date, Team, Acquired, Relinquished, Notes
2015-12-26, Hornets, , • Spencer Hawes, tightness in lower back (DTD)
2015-12-26, Jazz, , • Derrick Favors, back spasms / sore lower back (DTD)
2015-12-26, Knicks, , • Louis Amundson / Lou Amundson, back spasms (DTD)
2015-12-26, Knicks, • Carmelo Anthony, , returned to lineup
2015-12-26, Nets, • Sergey Karasev, , returned to lineup
2015-12-26, Nuggets, • Jameer Nelson, , returned to lineup
2015-12-26, Raptors, • James Johnson, , returned to lineup
2015-12-26, Suns, , • Eric Bledsoe, sprained left knee (out for season)
2015-12-26, Wizards, , • Gary Neal, strained right quadricep (DTD)
2015-12-26, Wizards, • Otto Porter Jr., , returned to lineup
2015-12-26, Clippers, , • Austin Rivers, sprained right ankle (DTD)
2015-12-26, Grizzlies, , • Jordan Adams, sore right knee (out for season)
2015-12-26, Mavericks, , • Deron Williams, strained left hamstring (DTD)
2015-12-27, Hawks, , • Tiago Splitter, strained calf (DTD)
2015-12-27, Jazz, , • Alec Burks, fractured fibula in left leg (out indefinitely)
2015-12-28, Bucks, , • John Henson, elbow injury (DTD)
2015-12-28, Bulls, , • Doug McDermott, sore right knee (DTD)
2015-12-28, Clippers, • Austin Rivers, , returned to lineup
2015-12-28, Heat, , • Justise Winslow, ankle injury (DTD)
2015-12-28, Kings, , • Duje Dukan, bone bruise (DTD)
2015-12-28, Kings, , • Kosta Koufos, illness (DTD)
2015-12-28, Pacers, , • C.J. Miles, sore lower back (DTD)
2015-12-28, Spurs, , • Tim Duncan, right knee injury (DTD)
2015-12-28, Warriors, , • Leandro Barbosa, sprained left shoulder (DTD)
2015-12-29, Bucks, • John Henson, , returned to lineup
 Date, Team, Acquired, Relinquished, Notes
2015-12-29, Hawks, , • Dennis Schroder, DNP
2015-12-29, Jazz, , • Alec Burks, surgery on left leg to repair fractured fibula (date approximate)
2015-12-29, Pacers, , • Jordan Hill, dental work (DTD)
2015-12-29, Rockets, , • Terrence Jones, illness (DTD)
2015-12-29, Suns, , • Eric Bledsoe, surgery on left knee to repair torn meniscus (out for season)
2015-12-30, 76ers, • Jahlil Okafor, , returned to lineup
2015-12-30, Bulls, , • Derrick Rose, right hamstring tendinitis/tightness (DTD)
2015-12-30, Bulls, • Doug McDermott, , returned to lineup
2015-12-30, Hornets, , • Al Jefferson, torn lateral meniscus in right knee (out indefinitely)
2015-12-30, Hornets, , • Jeremy Lin, sprained right ankle (DTD)
2015-12-30, Kings, • Kosta Koufos, , returned to lineup
2015-12-30, Knicks, , • Cleanthony Early, knee injury (from gunshot wound) (DTD)
2015-12-30, Pacers, • Myles Turner, , returned to lineup
2015-12-30, Warriors, , • Festus Ezeli, sore left toe (DTD)
2015-12-30, Warriors, , • Leandro Barbosa, sprained left shoulder (DTD)
2015-12-30, Warriors, , • Stephen Curry, bruised lower left leg (DTD)
2015-12-31, Hornets, , • Al Jefferson, surgery on right knee to repair torn lateral meniscus (out indefinitely)
2015-12-31, Pacers, • C.J. Miles, , returned to lineup
2015-12-31, Rockets, • Terrence Jones, , returned to lineup
2015-12-31, Suns, , • Jon Leuer, ankle injury (DTD)
2015-12-31, Warriors, , • Leandro Barbosa, sprained left shoulder (DTD)
2016-01-01, 76ers, , • Hollis Thompson, corneal abrasion in right eye (DTD)
2016-01-01, Mavericks, , • Devin Harris, back spasms (DTD)
2016-01-01, Wizards, , • DeJuan Blair, sore right knee (DTD)
2016-01-01, Hornets, , • Spencer Hawes, sore lower back (DTD)
 Date, Team, Acquired, Relinquished, Notes
2016-01-02, Celtics, , • Avery Bradley, bruised left hip (DTD)
2016-01-02, Celtics, , • R.J. Hunter, left shoulder subluxation (DTD)
2016-01-02, Hornets, , • Nicolas Batum, sprained toe on right foot (DTD)
2016-01-02, Hornets, • Jeremy Lin, , returned to lineup
2016-01-02, Nuggets, , • Kostas Papanikolaou, sprained left ankle (DTD)
2016-01-02, Nuggets, • Jusuf Nurkic, , returned to lineup
2016-01-02, Pacers, • Jordan Hill, , returned to lineup
2016-01-02, Pelicans, , • Tyreke Evans, right knee tendinitis (DTD)
2016-01-02, Rockets, , • Donatas Motiejunas, sore back (DTD)
2016-01-02, Spurs, • Tim Duncan, , returned to lineup
2016-01-02, Suns, • Jon Leuer, , returned to lineup
2016-01-02, Warriors, , • Brandon Rush, tightness in right hamstring (DTD)
2016-01-02, Warriors, , • James Michael McAdoo / James McAdoo (Michael), sprained toe on left foot (DTD)
2016-01-02, Warriors, • Stephen Curry, , returned to lineup
2016-01-02, Wizards, , • Drew Gooden, strained right calf (DTD)
2016-01-02, Warriors, , • Harrison Barnes, sprained left ankle (DTD) (P)
2016-01-03, Heat, • Justise Winslow, , returned to lineup
2016-01-03, Nets, , • Jarrett Jack, torn ACL in right knee (out for season)
2016-01-03, Nuggets, • Kostas Papanikolaou, , returned to lineup
2016-01-03, Raptors, , • Anthony Bennett, sore lower back (DTD)
2016-01-04, 76ers, • Hollis Thompson, , returned to lineup
2016-01-04, Cavaliers, , • Joe Harris, right foot injury (DTD) (CBC Y)
2016-01-04, Grizzlies, , • Mike Conley Jr., tightness in lower back (DTD)
2016-01-04, Heat, , • Hassan Whiteside, knee injury (DTD)
2016-01-04, Hornets, • Spencer Hawes, , returned to lineup
 Date, Team, Acquired, Relinquished, Notes
2016-01-04, Kings, , • Omri Casspi, sore upper back (DTD)
2016-01-04, Magic, , • Elfrid Payton, bruised left ankle (DTD)
2016-01-04, Pacers, , • George Hill, food poisoning (DTD)
2016-01-04, Rockets, , • Donatas Motiejunas, sore back (DTD)
2016-01-04, Rockets, , • Ty Lawson, sprained left ankle (DTD)
2016-01-04, Thunder, , • Kevin Durant, toe injury (DTD)
2016-01-04, Warriors, , • James Michael McAdoo / James McAdoo (Michael), sprained toe on left foot (DTD)
2016-01-04, Warriors, • Brandon Rush, , returned to lineup
2016-01-04, Warriors, • Festus Ezeli, , returned to lineup
2016-01-05, Bulls, • Derrick Rose, , returned to lineup
2016-01-05, Kings, , • Duje Dukan, leg injury (DTD) (CBC)
2016-01-05, Kings, , • Rajon Rondo, back spasms (DTD)
2016-01-05, Kings, , • Willie Cauley-Stein, lacerated right middle finger (DTD)
2016-01-05, Warriors, , • James Michael McAdoo / James McAdoo (Michael), sprained toe on left foot (DTD)
2016-01-06, Celtics, • R.J. Hunter, , returned to lineup
2016-01-06, Grizzlies, , • Mike Conley Jr., sore left Achilles tendon (DTD)
2016-01-06, Mavericks, , • Wesley Matthews / Wes Matthews Jr., rest (DTD)
2016-01-06, Mavericks, , • Zaur Pachulia / Zaza Pachulia, rest (DTD)
